number,value,datetime_start,datetime_complete,duration,params_architecture,params_bias,params_dropout_rate,params_epochs,params_freeze_layers,params_lr,params_momentum,params_neurons_0,params_neurons_1,params_optimizer,params_weight_decay,state
29,0.8363636363636363,2025-01-26 10:01:22.015580,2025-01-26 10:01:39.540499,0 days 00:00:17.524919,vit_b_16,False,0.4,16,10,0.0004915562450617997,0.8918042625906712,256,224,SGD,0.0,PRUNED
30,0.6363636363636364,2025-01-26 10:01:39.544603,2025-01-26 10:01:56.865898,0 days 00:00:17.321295,inception_v3,False,0.1,11,0,0.000187153576280702,0.82404106454046,32,96,SGD,0.0008,PRUNED
31,0.8242424242424242,2025-01-26 10:01:56.870963,2025-01-26 10:02:13.939144,0 days 00:00:17.068181,efficientnet_b0,False,0.30000000000000004,13,0,0.0014240225912919326,,96,256,AdamW,0.0006000000000000001,PRUNED
32,0.9272727272727274,2025-01-26 10:02:13.940698,2025-01-26 10:02:30.232258,0 days 00:00:16.291560,efficientnet_b0,True,0.30000000000000004,7,0,0.002172672008477793,,96,224,AdamW,0.0006000000000000001,PRUNED
33,0.9272727272727272,2025-01-26 10:02:30.233882,2025-01-26 10:02:46.615486,0 days 00:00:16.381604,resnet18,True,0.2,12,0,0.0009068163279807579,,64,256,AdamW,0.0007,PRUNED
34,0.9393939393939393,2025-01-26 10:02:46.616786,2025-01-26 10:03:03.671041,0 days 00:00:17.054255,efficientnet_b0,False,0.30000000000000004,15,5,0.0002495199170076711,,128,224,AdamW,0.0005,PRUNED
35,0.8363636363636363,2025-01-26 10:03:03.672406,2025-01-26 10:03:19.924281,0 days 00:00:16.251875,resnet18,True,0.2,12,0,0.006065740379306805,0.5065441966705109,128,192,SGD,0.0008,PRUNED
36,0.9272727272727272,2025-01-26 10:03:19.925636,2025-01-26 10:06:02.077571,0 days 00:02:42.151935,inception_v3,False,0.1,18,5,0.0005802529923405116,,32,64,AdamW,0.001,PRUNED
37,0.8181818181818182,2025-01-26 10:06:02.079115,2025-01-26 10:06:20.123203,0 days 00:00:18.044088,vit_b_16,True,0.4,10,0,0.0026780772128859663,0.7597673472560879,96,256,SGD,0.00030000000000000003,PRUNED
38,0.8787878787878788,2025-01-26 10:06:20.124882,2025-01-26 10:06:36.669434,0 days 00:00:16.544552,resnet18,False,0.30000000000000004,14,5,0.001272460061573317,,160,160,Adam,0.0005,PRUNED
39,0.9272727272727272,2025-01-26 10:06:36.670810,2025-01-26 10:06:53.077514,0 days 00:00:16.406704,efficientnet_b0,True,0.6,13,0,0.00025266980304364955,,64,224,AdamW,0.0007,PRUNED
40,0.896969696969697,2025-01-26 10:06:53.083352,2025-01-26 10:07:11.723884,0 days 00:00:18.640532,vit_b_16,False,0.4,6,10,0.0017491185580582385,,96,64,AdamW,0.00030000000000000003,PRUNED
41,0.9454545454545453,2025-01-26 10:07:11.725257,2025-01-26 10:09:53.792971,0 days 00:02:42.067714,inception_v3,True,0.4,13,0,0.00014956686487917832,,96,96,AdamW,0.0001,PRUNED
42,0.9212121212121213,2025-01-26 10:09:53.794470,2025-01-26 10:10:10.054085,0 days 00:00:16.259615,inception_v3,True,0.5,12,0,6.600209392657585e-05,,96,96,AdamW,0.0002,PRUNED
43,0.8909090909090909,2025-01-26 10:10:10.055528,2025-01-26 10:10:27.260673,0 days 00:00:17.205145,inception_v3,True,0.5,15,0,5.669856801687251e-05,,128,128,AdamW,0.0,PRUNED
44,0.8927858568577132,2025-01-26 10:10:27.264833,2025-01-26 10:12:38.276363,0 days 00:02:11.011530,inception_v3,True,0.4,8,0,0.0007663117568782726,,64,32,AdamW,0.0002,COMPLETE
45,0.91197197441851,2025-01-26 10:12:38.279325,2025-01-26 10:15:38.053301,0 days 00:02:59.773976,vit_b_16,True,0.30000000000000004,11,10,3.8438124020958854e-05,,192,64,AdamW,0.0001,COMPLETE
46,0.812121212121212,2025-01-26 10:15:38.055037,2025-01-26 10:15:54.928087,0 days 00:00:16.873050,efficientnet_b0,True,0.5,14,5,2.517422786895673e-05,,128,192,AdamW,0.0009000000000000001,PRUNED
47,0.896969696969697,2025-01-26 10:15:54.929446,2025-01-26 10:16:11.041422,0 days 00:00:16.111976,inception_v3,False,0.2,17,0,0.0003184397559558777,,256,224,Adam,0.0004,PRUNED
48,0.890909090909091,2025-01-26 10:16:11.042801,2025-01-26 10:16:27.100957,0 days 00:00:16.058156,resnet18,True,0.4,9,10,0.0019449427730993164,,96,160,AdamW,0.0006000000000000001,PRUNED
49,0.34545454545454546,2025-01-26 10:16:27.102423,2025-01-26 10:16:44.773763,0 days 00:00:17.671340,vit_b_16,False,0.2,13,0,0.006336140526612329,,32,256,AdamW,0.001,PRUNED
